Gender,Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Multiple Lines,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,CLTV,Total Extra Services
0,0,0,0,39,0,0,0,0,1,0,1,1,0,1,0,5433,3
1,0,0,0,20,1,1,0,1,0,1,1,0,1,1,1,2989,4
1,0,1,0,54,1,1,1,1,1,0,1,1,0,0,1,6130,7
1,0,0,0,51,0,0,1,0,0,1,0,1,0,1,0,6087,2
0,0,1,1,46,1,0,0,0,0,0,0,0,2,0,0,4630,1
0,0,1,0,35,1,0,1,0,0,1,0,0,1,1,0,4858,2
0,0,1,1,65,1,1,1,0,1,0,1,1,2,1,0,4997,6
0,1,1,0,25,1,0,0,1,1,0,0,1,0,0,0,4849,4
1,0,0,0,17,1,0,0,0,0,0,0,0,1,1,0,4774,1
0,1,0,0,64,1,1,1,0,1,1,1,1,0,1,0,5780,6
1,0,0,0,32,1,0,0,0,0,0,0,0,1,0,2,4636,1
0,1,1,0,31,1,1,0,0,1,0,1,0,1,1,1,2364,4
0,0,0,0,8,1,1,1,1,1,0,0,0,0,1,0,3033,5
1,0,1,1,50,1,1,1,0,0,1,1,0,2,1,0,4022,4
0,1,1,0,71,1,0,0,1,1,0,0,1,2,0,0,6004,4
0,0,1,0,59,1,0,1,0,1,0,0,0,1,1,0,4709,3
0,0,1,0,69,1,1,1,1,1,1,1,1,2,1,1,4216,7
1,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,3926,1
0,0,0,0,3,1,0,1,0,0,0,0,0,0,1,1,5125,2
0,0,1,0,5,1,0,0,0,0,0,0,0,0,1,1,5536,1
0,0,0,0,15,1,1,0,1,0,0,1,1,0,1,1,2565,5
1,0,1,0,69,1,1,1,1,1,1,0,1,1,1,0,5935,6
1,0,1,1,52,1,0,1,1,1,0,1,1,2,0,1,4509,6
0,0,0,0,15,1,0,0,0,1,0,1,1,0,1,0,4521,4
0,0,1,1,3,1,0,0,0,0,0,0,0,2,0,2,3863,1
1,1,1,1,65,1,1,1,1,0,0,0,0,0,1,1,4978,4
0,0,1,0,20,1,0,0,0,1,1,0,0,0,1,2,4741,2
0,0,1,0,71,1,1,1,1,1,1,1,1,2,0,0,4493,7
1,0,0,0,62,1,0,1,1,0,0,1,1,1,1,0,5974,5
0,0,1,0,56,1,0,1,0,1,0,0,0,2,0,0,6203,3
0,0,0,0,41,1,0,0,0,0,0,0,0,0,0,1,2839,1
1,0,1,1,49,1,1,0,1,1,0,1,0,1,1,1,5542,5
1,0,1,1,21,1,0,0,0,0,0,0,0,1,0,2,3243,1
1,0,0,0,53,0,0,1,1,0,0,0,1,0,1,0,6245,3
0,0,0,0,35,1,0,0,0,0,0,0,0,1,0,2,4261,1
0,0,1,0,59,1,1,1,1,1,1,0,1,1,1,0,4620,6
0,0,0,1,4,1,0,0,0,0,0,0,0,1,1,2,5602,1
1,0,1,0,61,1,1,0,0,0,0,1,1,1,1,0,5926,4
0,0,0,0,12,1,0,0,0,0,0,0,0,1,1,0,4451,1
1,0,1,1,42,1,0,0,0,0,0,0,0,2,0,2,5320,1
0,0,0,0,19,1,0,0,1,0,0,1,0,1,0,1,4033,3
1,0,0,0,9,0,0,1,0,1,1,0,1,1,0,2,5535,3
1,0,0,0,46,1,1,0,1,1,1,1,1,2,0,1,4210,6
1,0,0,0,24,1,0,0,0,0,1,0,0,0,1,0,2515,1
0,1,0,0,45,1,1,1,1,0,1,1,0,0,1,1,4735,5
0,1,0,0,2,1,1,0,1,0,0,0,0,0,1,0,2069,3
1,0,1,0,3,0,0,1,0,0,1,0,0,0,0,2,3610,1
1,0,1,1,54,1,1,0,1,0,1,1,1,1,1,1,5546,5
1,0,1,0,63,1,0,0,0,0,0,0,0,2,1,0,5151,1
0,0,1,0,23,1,0,0,0,1,1,0,0,0,0,1,5140,2
1,0,0,0,51,1,1,0,0,0,0,0,0,1,1,0,4886,2
0,1,1,0,26,1,1,0,0,1,0,1,1,0,1,0,3114,5
0,0,1,1,65,1,1,1,1,0,1,1,1,2,1,0,5314,6
0,1,1,0,17,1,1,0,0,0,0,1,1,0,1,1,3689,4
0,0,1,0,58,1,1,0,1,1,0,0,1,1,1,1,6166,5
0,0,0,0,63,1,1,0,1,0,0,1,1,2,0,0,4769,5
0,0,1,1,43,1,0,0,0,0,0,0,0,1,0,2,4882,1
0,0,1,1,24,1,1,0,0,0,0,0,0,2,0,2,5302,2
1,0,1,1,7,1,0,0,0,0,0,0,0,0,0,2,4954,1
0,0,1,1,5,1,1,0,0,0,0,0,0,0,1,2,3181,2
0,0,0,0,12,1,0,0,0,0,0,0,0,1,0,2,2868,1
0,0,1,1,6,1,0,0,0,0,0,0,0,2,0,2,5874,1
0,0,0,0,57,1,1,1,1,0,1,0,0,0,1,0,4882,4
1,0,0,1,17,1,0,0,1,1,1,1,1,1,0,1,3913,5
1,0,1,1,39,1,0,1,1,1,0,0,0,1,0,1,3093,4
1,1,0,0,67,1,0,1,1,0,1,1,1,2,1,1,4143,5
1,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,2154,1
1,1,1,1,28,1,1,0,0,0,0,0,0,1,1,1,5195,2
1,0,1,1,40,1,1,0,0,0,0,0,0,2,0,0,3217,2
1,0,1,1,2,1,0,1,1,0,1,0,0,2,0,2,5613,3
1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,2978,2
1,0,1,1,7,1,0,1,0,0,0,1,1,0,0,0,4326,4
0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,2,2576,1
1,1,0,0,51,1,0,0,0,1,0,1,1,1,1,0,6034,4
0,0,1,0,65,1,0,1,0,1,0,0,0,0,1,2,6205,3
1,0,0,0,42,1,1,0,0,1,0,0,0,0,0,1,2583,3
0,0,1,1,62,1,0,1,0,1,0,0,0,1,0,0,5010,3
1,0,0,0,72,1,1,1,1,1,1,1,1,2,0,0,6347,7
1,0,1,0,70,1,1,0,1,1,1,1,1,2,1,0,6354,6
1,0,1,0,24,1,1,0,0,0,0,1,1,0,1,1,5886,4
0,0,1,0,72,1,1,1,1,1,1,1,0,2,1,0,5096,6
0,0,1,0,72,0,0,1,1,1,1,1,1,2,0,0,4119,5
1,0,1,0,44,0,0,0,1,1,0,1,1,2,0,0,3222,4
1,0,0,0,38,1,1,1,1,0,0,1,1,1,1,1,2709,6
1,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0,5253,1
0,1,1,0,15,1,0,0,1,0,0,1,1,0,1,1,5868,4
1,0,1,0,71,1,1,1,1,1,1,1,1,2,0,0,5007,7
1,0,0,0,44,1,1,0,1,1,1,1,1,1,1,0,2292,6
0,0,1,1,44,1,0,1,0,0,1,0,0,0,0,0,3918,2
0,0,0,0,60,1,1,0,1,1,0,1,1,2,0,1,6186,6
0,0,1,1,65,1,1,0,1,0,1,1,1,2,1,0,4023,5
1,0,1,1,72,1,1,0,0,0,0,0,0,2,0,0,6232,2
0,0,0,0,25,0,0,0,0,1,1,1,1,1,0,1,4458,3
1,0,0,0,71,1,1,1,0,0,1,0,1,1,0,0,5319,4
0,0,1,0,17,0,0,0,1,1,0,0,0,0,1,0,5977,2
1,0,0,0,43,1,1,0,0,0,0,0,0,2,0,0,3881,2
0,0,0,0,5,1,1,1,0,0,0,0,0,0,1,1,2182,3
0,0,0,1,66,1,1,1,0,1,1,0,0,2,1,0,6204,4
1,0,1,1,72,1,0,0,0,0,0,0,0,2,0,0,4974,1
1,0,0,0,3,1,0,0,0,0,0,0,1,0,0,2,2168,2
1,1,0,0,5,1,0,0,1,0,0,0,1,0,1,1,2850,3
1,0,0,0,26,0,0,1,1,0,0,0,1,0,1,0,4512,3
1,0,0,0,4,1,0,0,0,0,0,0,0,0,0,2,4402,1
0,0,1,1,31,1,0,0,0,0,0,0,0,2,0,2,5225,1
0,0,0,1,53,1,1,0,1,1,1,1,1,1,1,1,4733,6
0,0,0,1,12,1,1,0,1,1,0,1,1,0,1,1,5913,6
1,0,1,1,69,1,0,0,0,0,0,0,0,2,0,0,6058,1
0,0,1,1,57,1,0,0,0,0,0,0,0,2,0,0,5864,1
0,0,1,1,55,1,1,1,1,0,1,0,1,1,1,0,4489,5
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3103,1
1,0,1,1,37,1,0,1,0,1,1,0,0,1,1,2,3483,3
0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,1,2196,3
0,0,0,0,20,1,0,0,0,0,0,0,0,0,1,1,3460,1
1,0,0,0,10,1,1,1,0,0,0,0,0,0,1,0,4163,3
0,0,1,0,53,1,0,0,0,0,0,0,0,1,1,0,4836,1
0,0,0,0,11,1,0,0,0,0,1,1,1,0,0,2,5541,3
1,0,0,1,12,1,0,0,0,0,0,0,0,0,0,0,4001,1
0,0,1,0,45,1,0,0,0,0,1,1,1,2,1,0,3363,3
0,0,1,0,32,1,0,0,0,0,0,0,0,1,0,2,5817,1
1,0,1,0,68,1,1,1,1,1,1,1,1,2,1,0,4451,7
0,0,0,0,37,1,1,1,1,1,1,1,0,0,1,0,3801,6
1,0,1,1,72,1,1,1,1,1,0,1,1,2,1,0,5780,7
0,0,0,0,48,1,0,1,0,1,1,1,1,2,1,0,3262,5
0,0,0,0,26,0,0,0,0,1,0,1,1,0,1,0,2510,3
0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,4158,1
0,0,1,1,68,1,1,0,1,0,1,1,1,2,1,0,4121,5
0,0,1,0,4,1,0,1,1,0,0,0,0,0,0,2,3475,3
1,0,0,1,64,1,0,0,1,0,1,1,1,0,1,0,4590,4
1,0,0,0,27,1,0,0,0,0,0,0,0,0,1,2,3241,1
1,1,1,0,57,1,0,0,1,1,0,1,0,1,1,1,5636,4
1,0,1,1,14,1,0,0,0,0,0,0,0,1,0,2,3958,1
0,0,0,0,36,1,1,0,1,1,0,1,1,1,1,0,5319,6
1,0,0,0,69,1,1,1,1,1,1,1,0,2,1,0,5189,6
1,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,4946,1
0,0,1,1,33,1,0,0,0,0,0,0,0,1,0,2,3342,1
1,0,0,0,1,1,0,0,0,0,0,1,1,0,1,2,2438,3
0,0,1,1,64,1,1,1,0,0,1,1,1,1,1,0,5133,5
0,0,1,1,72,1,1,1,1,0,0,1,0,2,1,1,5584,5
0,0,1,0,67,0,0,1,0,0,1,0,0,2,0,0,5655,1
0,1,0,0,60,1,1,1,0,0,0,1,1,1,1,0,4483,5
0,0,1,1,16,1,1,0,1,0,0,0,0,0,1,0,3855,3
1,0,1,0,61,1,0,1,1,0,1,1,1,2,1,2,4072,5
0,0,0,0,22,1,1,0,0,0,0,0,0,1,1,0,2031,2
0,0,1,1,69,1,1,1,1,0,1,1,0,1,0,0,4268,5
0,0,1,1,59,1,1,0,0,0,0,0,0,2,0,2,4746,2
1,1,1,0,71,1,1,1,1,1,1,0,0,1,1,1,4322,5
0,0,1,1,69,1,1,1,1,1,1,1,0,1,1,0,4686,6
1,0,1,1,72,1,1,1,1,1,1,1,0,2,1,0,6067,6
0,0,1,1,69,1,1,0,1,1,1,1,1,1,1,0,5874,6
1,0,0,1,33,1,0,0,0,0,0,0,0,1,1,2,5759,1
0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,2,5575,1
1,1,0,0,11,1,1,1,1,0,0,0,0,0,0,0,5296,4
1,0,1,1,13,1,0,0,0,1,0,1,1,0,0,1,5282,4
0,0,1,0,57,0,0,1,1,1,0,1,1,0,1,0,4115,5
1,1,1,0,71,1,0,0,1,1,1,0,1,2,1,0,6412,4
1,0,1,0,31,1,1,0,0,1,0,1,0,0,0,0,4821,4
1,0,1,1,68,1,0,1,1,1,1,0,0,2,0,0,5215,4
1,0,1,0,42,0,0,0,1,1,0,0,1,1,1,0,3844,3
1,0,1,0,18,1,1,0,0,0,0,0,0,0,1,1,4283,2
1,1,0,1,7,1,0,0,0,0,0,0,0,0,1,2,3779,1
1,0,1,0,49,1,0,0,0,1,1,1,1,1,1,0,4995,4
1,0,1,1,71,1,1,1,1,1,1,1,1,2,0,0,6452,7
0,0,1,0,51,1,1,0,0,1,0,1,1,1,1,1,6034,5
1,0,1,1,15,1,0,1,0,0,0,0,0,0,0,2,4634,2
0,0,0,0,21,1,0,0,0,0,0,0,0,2,1,0,5422,1
0,0,1,1,8,1,0,0,0,0,0,0,0,0,1,1,4651,1
0,1,1,0,55,1,1,0,1,1,1,0,0,0,0,1,5140,4
0,0,0,0,68,1,1,0,0,0,0,0,0,2,0,0,5182,2
1,0,1,1,38,1,1,1,0,1,1,1,1,2,1,0,5292,6
1,0,0,0,41,1,1,0,0,1,0,0,0,0,1,0,5590,3
1,1,0,0,67,1,1,0,0,0,0,0,0,0,1,2,5823,2
1,0,1,0,3,0,0,0,0,0,1,0,0,0,1,1,4416,0
1,1,1,1,68,1,1,0,0,1,1,1,1,1,1,0,4324,5
0,0,1,0,71,1,1,0,0,0,0,0,0,2,0,0,6334,2
0,0,0,0,54,1,0,0,0,1,0,1,1,1,1,0,4084,4
1,1,0,0,18,1,1,0,1,0,0,0,0,0,1,0,5137,3
1,0,0,1,27,1,0,1,1,0,0,0,0,1,0,2,5978,3
1,0,0,0,69,1,1,1,1,1,1,0,1,2,1,0,5286,6
1,0,1,0,64,1,1,0,1,0,1,0,1,1,1,2,5037,4
0,0,1,1,66,1,1,1,1,1,0,1,1,2,0,0,5865,7
1,0,1,1,70,1,0,0,0,0,0,0,0,2,0,0,4485,1
1,0,0,0,9,1,0,0,0,0,0,0,0,1,1,1,3643,1
1,0,0,0,69,0,0,0,1,1,0,0,0,1,1,0,4043,2
1,0,1,0,61,1,0,0,0,0,0,0,0,2,0,0,4446,1
0,0,0,0,61,1,1,0,0,1,0,0,1,0,0,2,5536,4
0,0,1,1,3,1,0,0,0,0,0,0,0,0,0,2,5722,1
0,0,1,1,72,1,1,0,0,0,0,0,0,2,0,2,5192,2
1,0,1,1,52,1,1,0,0,0,0,0,0,2,0,2,4676,2
0,0,0,0,41,1,0,0,1,0,1,1,1,2,1,0,5584,4
0,0,0,0,2,1,0,0,1,0,0,1,0,0,1,1,5810,3
1,0,0,0,29,1,0,0,0,1,0,0,0,0,0,0,4825,2
1,1,0,0,38,1,1,0,0,0,0,1,1,0,0,1,3654,4
1,1,1,0,7,0,0,1,0,0,0,0,0,0,0,0,2587,1
0,0,1,0,19,1,0,0,1,0,0,0,1,0,1,2,3652,3
0,1,1,0,31,0,0,1,1,1,0,0,1,1,1,0,2166,4
1,0,1,1,44,0,0,1,1,1,1,0,1,2,1,0,4896,4
1,0,0,0,23,1,0,1,0,1,0,1,1,1,1,0,3515,5
0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,1,5121,1
0,0,0,0,5,0,0,0,1,0,0,1,1,0,1,0,3573,3
1,1,0,0,52,1,1,0,1,1,1,1,1,0,1,1,4993,6
1,0,1,0,64,1,1,1,0,1,1,1,1,1,1,2,4576,6
0,0,0,0,67,1,1,0,0,0,0,0,0,2,1,0,5183,2
0,0,0,0,13,1,1,0,0,0,0,0,1,0,1,1,5886,3
0,0,1,1,19,1,0,0,0,1,0,0,0,0,1,0,5735,2
1,1,0,0,11,1,0,0,0,0,0,0,1,0,1,1,4333,2
0,0,1,1,59,1,1,0,1,1,0,1,1,1,1,1,5096,6
1,0,1,0,2,1,0,0,0,0,0,0,0,1,0,2,3866,1
1,0,1,1,62,1,0,1,1,1,1,1,1,2,0,2,5298,6
0,0,0,1,8,1,0,0,0,0,0,0,0,0,0,2,2675,1
1,0,1,1,2,1,0,0,0,0,0,0,0,0,0,2,5010,1
1,0,0,0,12,0,0,1,1,0,1,1,0,0,1,0,2716,3
1,0,1,1,72,1,1,0,0,1,0,0,1,2,1,0,6188,4
1,0,1,1,25,1,0,0,1,0,0,0,0,0,1,1,5985,2
1,0,0,0,10,1,0,0,0,0,0,0,0,0,0,1,2706,1
0,0,1,1,34,1,0,1,1,1,1,1,1,2,0,2,2020,6
0,0,0,0,47,1,0,0,0,0,0,0,0,2,1,2,5404,1
1,1,0,0,63,1,1,1,1,1,0,1,1,0,1,0,5961,7
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,3980,1
1,0,1,0,42,0,0,0,0,0,0,0,0,0,1,0,4959,0
0,0,0,0,13,0,0,1,0,0,0,0,0,0,1,0,2444,1
0,0,1,1,38,1,0,0,0,0,0,0,0,0,0,2,5587,1
0,0,0,0,17,1,1,0,0,0,0,0,0,0,0,2,5208,2
1,0,0,0,50,1,0,1,1,1,1,0,0,1,1,0,6435,4
1,0,1,0,16,1,0,1,0,1,0,1,0,2,0,2,5511,4
1,0,0,0,59,1,0,0,0,0,0,0,0,2,1,0,5216,1
1,0,1,1,59,1,0,0,0,0,0,0,0,2,0,2,5293,1
0,0,1,1,29,1,0,0,0,0,0,0,0,2,0,2,2784,1
0,1,0,0,71,1,1,1,1,0,1,1,0,1,1,0,5448,5
1,0,1,1,71,1,1,0,1,0,1,0,0,2,1,1,5952,3
0,0,1,1,62,1,1,0,1,0,1,1,1,1,1,0,6361,5
1,0,1,0,23,1,1,0,1,1,0,0,0,0,0,1,2781,4
0,0,1,0,67,1,1,0,0,0,0,0,0,2,1,0,5887,2
0,0,0,0,68,1,0,0,0,0,0,0,0,2,0,0,5740,1
1,1,1,0,2,1,0,0,0,1,0,0,0,0,1,1,3170,2
1,0,0,0,19,1,0,0,0,0,1,1,0,0,1,0,5831,2
1,0,1,1,61,1,0,1,1,1,1,1,1,1,0,0,4413,6
0,0,0,0,8,1,0,0,0,0,0,0,0,2,0,2,4249,1
0,0,0,0,56,0,0,1,1,1,1,0,0,2,0,0,5795,3
1,0,0,0,27,1,0,0,0,0,0,0,0,1,0,0,3428,1
0,0,0,0,2,1,0,1,0,1,0,0,0,0,1,1,5602,3
0,0,0,0,30,1,1,0,1,1,1,1,1,1,0,0,4983,6
0,1,1,0,5,1,0,0,0,0,0,0,0,0,1,1,5437,1
0,0,1,0,3,1,0,0,0,0,0,0,0,0,1,2,4047,1
0,0,0,1,26,0,0,0,0,1,0,0,0,0,1,2,3746,1
1,0,0,0,52,0,0,1,1,1,1,1,1,2,0,0,5380,5
0,0,0,0,17,1,0,0,0,0,0,0,0,2,0,2,3561,1
1,0,0,0,48,1,0,0,0,0,0,0,0,2,0,0,3779,1
0,0,1,1,43,1,1,0,0,0,0,0,0,1,1,0,5119,2
0,0,1,1,32,1,0,1,1,1,1,0,1,2,0,2,4343,5
1,0,0,0,72,1,1,1,1,1,1,1,1,2,0,0,6468,7
1,0,0,0,5,1,0,0,1,0,0,0,0,0,1,1,3319,2
0,0,0,1,11,1,0,0,0,0,0,0,0,0,0,0,3838,1
1,0,1,0,72,1,1,0,1,1,1,1,1,2,1,0,6322,6
0,0,0,0,17,1,0,0,0,0,0,0,0,1,0,0,2093,1
1,0,0,0,56,1,0,0,1,1,1,1,1,2,1,0,4399,5
1,0,0,1,56,1,1,0,0,0,0,0,0,2,1,2,4262,2
0,1,1,0,43,1,1,1,1,0,0,1,0,0,1,1,4745,5
1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,2,4427,1
1,0,1,0,72,1,1,0,1,0,0,1,1,2,1,1,6022,5
0,0,1,0,72,1,1,1,0,1,1,1,1,2,1,0,4447,6
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,4639,1
1,0,1,1,41,1,0,0,0,0,0,0,0,2,1,2,5743,1
1,0,1,1,12,0,0,0,1,0,1,0,0,0,0,2,2562,1
1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,2,3753,1
1,0,1,1,35,1,0,0,0,0,0,0,0,1,0,1,2334,1
1,1,1,0,66,1,1,0,1,1,1,1,1,1,1,0,4138,6
1,0,1,0,72,1,0,0,0,0,0,0,0,2,0,0,6317,1
0,0,1,0,52,1,0,0,0,0,0,0,0,1,0,0,4848,1
0,0,1,1,59,1,1,1,1,1,1,1,1,2,0,0,4617,7
1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,5092,2
1,0,1,0,66,1,0,0,0,0,0,0,0,1,1,1,4845,1
0,0,1,1,10,1,0,0,0,0,0,1,1,0,1,1,4531,3
0,1,0,0,44,1,0,0,0,1,1,1,1,1,0,0,3253,4
0,0,1,1,16,1,0,0,0,0,0,0,0,0,0,2,4146,1
1,0,1,1,67,1,0,0,1,1,1,1,1,2,0,0,4376,5
1,1,1,0,59,0,0,0,1,0,0,1,1,0,1,1,5546,3
1,0,1,1,69,1,1,0,0,1,0,0,0,2,1,0,4072,3
1,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,2406,1
0,1,1,0,57,1,1,0,1,1,0,0,1,0,0,0,6015,5
1,0,1,0,66,1,1,1,1,1,1,1,1,2,0,0,5453,7
1,1,1,0,61,1,1,0,0,0,0,0,0,2,0,0,6421,2
1,0,0,0,26,1,0,0,0,0,1,0,0,0,0,0,2752,1
0,0,0,1,19,1,0,0,0,0,1,0,0,0,0,2,3749,1
1,0,0,0,52,1,0,1,0,1,0,1,0,1,0,1,4770,4
0,0,1,1,64,1,1,1,1,1,1,1,1,1,0,1,4952,7
0,0,0,0,12,1,0,0,0,0,0,0,0,1,0,1,4628,1
0,0,0,0,13,1,0,0,0,0,0,0,0,2,1,2,4883,1
0,0,1,1,28,1,1,0,0,0,0,0,0,0,0,2,5250,2
1,0,1,0,70,1,1,1,1,0,1,0,0,2,1,0,4867,4
1,0,1,0,49,1,1,1,1,0,0,1,0,0,1,0,5698,5
1,0,1,1,37,1,0,0,0,0,0,0,0,2,0,0,2745,1
1,0,0,0,18,1,1,1,0,0,0,0,0,0,0,2,2277,3
0,0,1,0,65,1,1,1,1,0,1,1,0,2,1,0,5878,5
0,0,0,0,7,1,0,0,0,0,0,1,1,0,1,1,4858,3
1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,2,2962,2
1,0,1,0,18,1,0,0,0,0,0,0,0,0,1,0,2935,1
1,0,1,1,35,1,1,0,1,0,0,1,0,0,1,0,2622,4
0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,4344,1
0,0,1,0,33,0,0,1,0,1,1,1,1,2,0,0,5980,4
1,0,1,1,32,1,0,1,1,0,0,0,1,1,1,1,2722,4
1,1,0,0,45,1,1,0,0,0,0,1,1,0,1,0,3960,4
0,0,0,1,48,0,0,0,1,1,0,0,1,0,0,0,4106,3
0,1,0,0,72,1,1,1,1,1,1,0,1,2,1,0,5294,6
1,0,0,1,66,1,0,0,0,0,0,0,0,2,0,0,6382,1
1,1,0,0,64,1,1,0,0,1,1,1,1,1,0,1,6100,5
