customer_id,gender,senior_citizen,partner,dependents,tenure_months,phone_service,multiple_lines,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract_type,paperless_billing,payment_method,cltv,is_fiber
5248-YGIJN,male,0,1,0,72,1,1,1,1,1,1,1,1,two_year,1,credit_card,5974,0
3841-NFECX,female,1,1,0,71,1,1,1,1,1,1,0,0,two_year,1,credit_card,5309,1
4929-XIHVW,male,1,1,0,2,1,0,0,0,1,0,1,1,month_to_month,1,credit_card,4449,1
6827-IEAUQ,female,0,1,0,27,1,0,1,1,1,1,0,0,one_year,0,mailed_check,3213,0
7310-EGVHZ,male,0,0,0,1,1,0,0,0,0,0,0,0,month_to_month,0,bank_transfer,5526,0
3413-BMNZE,male,1,0,0,1,1,0,0,0,0,0,0,0,month_to_month,0,bank_transfer,3144,0
6234-RAAPL,female,0,1,0,72,1,1,1,1,0,1,1,0,two_year,0,bank_transfer,5915,1
6572-ADKRS,female,0,0,0,46,1,0,0,0,1,0,0,0,month_to_month,1,credit_card,3395,1
8865-TNMNX,male,0,1,0,10,1,0,0,1,0,0,0,0,one_year,0,mailed_check,2392,0
9489-DEDVP,female,0,1,0,70,1,1,1,1,0,0,1,0,two_year,1,credit_card,4715,0
9867-JCZSP,female,0,1,0,17,1,0,0,0,0,0,0,0,one_year,0,mailed_check,3646,0
4671-VJLCL,female,0,0,0,63,1,1,1,1,1,1,1,0,two_year,1,credit_card,4595,0
4080-IIARD,female,0,1,0,13,1,1,1,1,0,1,1,0,month_to_month,1,electronic_check,2569,0
3714-NTNFO,female,0,0,0,49,1,1,0,0,0,0,0,1,month_to_month,1,electronic_check,6434,1
5948-UJZLF,male,0,0,0,2,1,0,0,1,0,0,0,0,month_to_month,0,mailed_check,3805,0
7639-LIAYI,male,0,0,0,52,1,1,1,0,0,1,1,1,two_year,1,credit_card,4142,0
2954-PIBKO,female,0,1,0,69,1,1,1,0,1,1,0,0,two_year,1,credit_card,5128,0
8012-SOUDQ,female,1,0,0,43,1,1,0,1,0,0,1,0,month_to_month,1,electronic_check,2223,1
6575-SUVOI,female,1,1,0,25,1,1,1,0,0,1,1,0,month_to_month,1,credit_card,3154,0
4667-QONEA,female,1,1,0,60,1,0,1,1,1,1,0,1,one_year,1,credit_card,5153,0
8769-KKTPH,female,0,1,0,63,1,1,1,0,0,0,1,1,one_year,1,credit_card,4572,1
5067-XJQFU,male,1,1,0,66,1,1,0,1,1,1,1,1,one_year,1,electronic_check,4582,1
3957-SQXML,female,0,1,0,34,1,1,0,0,0,0,0,0,two_year,0,credit_card,5408,0
5954-BDFSG,female,0,0,0,72,1,1,0,0,1,1,1,1,two_year,1,credit_card,4708,1
0434-CSFON,female,0,1,0,47,1,1,0,0,1,0,1,1,month_to_month,1,electronic_check,4488,1
1215-FIGMP,male,0,0,0,60,1,1,0,1,0,0,1,0,month_to_month,1,bank_transfer,6292,1
0526-SXDJP,male,0,1,0,72,0,0,1,1,1,0,0,0,two_year,0,bank_transfer,6091,0
0557-ASKVU,female,0,1,0,18,1,0,0,0,1,1,0,0,one_year,1,credit_card,4948,0
5122-CYFXA,female,0,0,0,3,1,0,0,1,0,1,1,1,month_to_month,1,electronic_check,5387,0
8627-ZYGSZ,male,0,1,0,47,1,1,0,1,0,0,0,0,one_year,1,electronic_check,3817,1
3410-YOQBQ,female,0,0,0,31,1,0,0,1,1,1,1,1,two_year,0,mailed_check,4984,0
3170-NMYVV,female,0,1,0,50,1,0,0,0,0,0,0,0,two_year,0,bank_transfer,5849,0
7410-OIEDU,male,0,0,0,10,1,0,1,0,1,0,0,0,month_to_month,1,mailed_check,5983,1
2273-QCKXA,male,0,0,0,1,1,0,0,0,0,1,0,0,month_to_month,0,mailed_check,3178,0
0731-EBJQB,female,0,1,0,52,1,0,0,0,0,0,0,0,one_year,1,electronic_check,5482,0
1891-QRQSA,male,1,1,0,64,1,1,1,0,1,1,1,1,two_year,1,bank_transfer,4881,1
8028-PNXHQ,male,0,1,0,62,1,1,0,0,0,0,0,0,two_year,1,bank_transfer,4444,0
5630-AHZIL,female,0,0,1,3,1,0,1,0,0,1,0,1,month_to_month,1,bank_transfer,5613,0
2673-CXQEU,female,1,0,0,56,1,1,1,1,1,0,1,1,one_year,0,electronic_check,4463,1
6416-JNVRK,female,0,0,0,46,1,0,0,0,0,0,0,1,one_year,0,credit_card,2867,0
5590-ZSKRV,female,0,1,1,8,1,0,1,1,0,0,0,0,month_to_month,0,mailed_check,5614,0
0191-ZHSKZ,male,1,0,0,30,1,0,1,1,0,0,1,1,month_to_month,1,electronic_check,3033,0
3887-PBQAO,female,0,1,0,45,1,1,0,0,0,0,0,0,one_year,1,credit_card,5741,0
8108-UXRQN,female,0,1,1,11,0,0,1,0,0,0,1,1,month_to_month,0,electronic_check,3443,0
9919-YLNNG,female,0,0,0,42,1,0,0,1,1,1,1,1,month_to_month,1,bank_transfer,4005,1
0318-ZOPWS,female,0,1,0,49,1,0,0,0,0,0,0,0,two_year,1,bank_transfer,5422,0
4445-ZJNMU,male,0,0,0,9,1,1,0,1,0,0,1,1,month_to_month,1,credit_card,3540,1
4808-YNLEU,female,0,1,0,35,1,0,1,0,0,0,1,0,one_year,1,bank_transfer,5255,0
1862-QRWPE,female,0,1,0,48,1,0,0,0,0,0,0,0,two_year,0,bank_transfer,4124,0
2796-NNUFI,female,0,1,0,46,1,0,0,0,0,0,0,0,two_year,1,mailed_check,5480,0
3016-KSVCP,male,0,1,0,29,0,0,0,0,0,0,1,0,month_to_month,0,mailed_check,3664,0
4767-HZZHQ,male,0,1,1,30,1,0,0,1,1,0,0,0,month_to_month,0,bank_transfer,5036,1
2424-WVHPL,male,1,0,0,1,1,0,0,0,0,1,0,0,month_to_month,0,electronic_check,4182,1
7233-PAHHL,male,0,1,0,66,1,1,1,0,1,1,1,1,two_year,1,mailed_check,5825,0
6067-NGCEU,female,0,0,0,65,1,1,1,1,1,0,1,1,month_to_month,1,credit_card,5261,1
9848-JQJTX,male,0,0,0,72,1,1,0,1,1,0,1,1,two_year,1,bank_transfer,5781,1
9803-FTJCG,male,0,1,0,71,1,1,1,1,0,1,0,0,one_year,1,credit_card,4117,0
3212-KXOCR,male,0,0,0,52,1,0,0,0,0,0,0,0,two_year,0,bank_transfer,4158,0
6380-ARCEH,male,0,0,0,1,1,0,0,0,0,0,0,0,month_to_month,0,mailed_check,2710,0
3679-XASPY,female,0,1,1,1,1,0,0,0,0,0,0,0,month_to_month,0,electronic_check,5612,0
7123-WQUHX,male,0,0,0,38,1,1,0,0,1,1,1,0,one_year,0,bank_transfer,4741,1
5386-THSLQ,female,1,1,0,66,0,0,0,1,1,0,1,0,one_year,0,bank_transfer,6238,0
6180-YBIQI,male,0,0,0,5,0,0,0,0,0,0,0,0,month_to_month,0,mailed_check,4015,0
6728-DKUCO,female,0,1,0,72,1,1,1,1,0,0,1,1,one_year,1,electronic_check,4594,1
9750-BOOHV,female,0,0,0,32,0,0,1,0,0,0,0,0,one_year,0,mailed_check,3585,0
8597-CWYHH,male,0,0,0,43,1,1,0,0,0,0,1,1,one_year,0,mailed_check,5845,1
2848-YXSMW,male,0,1,0,72,1,0,0,0,0,0,0,0,two_year,0,credit_card,5234,0
4549-ZDQYY,female,0,0,0,52,1,0,1,0,1,1,0,0,one_year,0,credit_card,6078,0
5712-AHQNN,female,0,0,0,43,1,0,0,1,1,0,1,0,month_to_month,1,electronic_check,3826,1
5256-SKJGO,female,0,1,0,64,0,0,0,1,0,1,1,1,two_year,1,electronic_check,4850,0
3071-VBYPO,male,0,1,1,3,1,0,1,1,0,0,1,0,month_to_month,0,electronic_check,4648,1
9560-BBZXK,female,0,0,0,36,0,0,1,0,0,0,0,0,two_year,0,bank_transfer,4871,0
8402-OOOHJ,female,0,0,0,41,1,0,0,0,0,0,0,0,two_year,0,mailed_check,5918,0
9445-ZUEQE,male,0,1,1,27,1,1,0,1,0,1,0,0,month_to_month,1,credit_card,3796,1
1091-SOZGA,female,0,1,0,56,1,1,0,0,1,0,1,1,one_year,1,credit_card,4606,1
2928-HLDBA,female,0,0,0,6,1,0,0,0,0,0,0,0,month_to_month,0,mailed_check,5346,0
6497-TILVL,female,0,1,1,7,1,0,1,0,0,0,0,0,month_to_month,0,mailed_check,3097,0
7219-TLZHO,female,0,1,1,4,1,0,0,0,0,0,0,0,month_to_month,0,mailed_check,3172,0
4622-YNKIJ,male,0,0,0,33,1,0,1,0,0,1,1,0,two_year,1,electronic_check,5087,1
6734-PSBAW,male,0,1,0,72,1,1,0,0,0,0,0,0,two_year,1,bank_transfer,5901,0
3930-ZGWVE,male,0,0,0,1,1,0,0,0,0,0,0,0,month_to_month,0,mailed_check,2484,0
2639-UGMAZ,male,1,0,0,71,0,0,1,1,0,0,1,1,one_year,1,electronic_check,5372,0
2876-GZYZC,female,0,0,0,13,1,1,0,0,0,0,0,1,month_to_month,1,electronic_check,5886,1
8587-XYZSF,male,0,0,0,67,1,0,0,0,0,1,0,0,two_year,0,bank_transfer,6064,0
7799-LGRDP,female,0,0,0,43,1,1,0,0,0,0,0,0,two_year,1,credit_card,2017,0
7850-VWJUU,female,0,0,0,23,1,0,1,0,0,0,0,0,month_to_month,1,bank_transfer,2221,1
3774-VBNXY,female,0,1,0,64,1,0,0,0,0,0,0,0,two_year,0,mailed_check,4557,0
6217-KDYWC,male,0,0,0,57,1,0,0,0,0,0,0,0,two_year,1,mailed_check,4393,0
3146-MSEGF,female,1,1,0,72,1,1,1,1,1,1,1,1,two_year,1,credit_card,6102,0
1095-WGNGG,female,0,1,0,61,1,1,0,1,0,0,1,1,two_year,1,bank_transfer,6311,1
2636-SJDOU,male,0,0,0,64,1,1,1,1,0,0,0,0,one_year,1,credit_card,5044,1
1131-QQZEB,male,1,1,0,71,1,1,0,0,0,0,0,0,two_year,0,bank_transfer,4329,0
5716-EZXZN,female,0,1,0,65,1,1,1,1,0,1,1,0,two_year,1,credit_card,5878,1
6837-BJYDQ,male,0,0,0,3,1,0,0,0,0,0,0,0,one_year,0,mailed_check,2543,0
6440-DKQGE,male,0,0,0,30,1,0,0,1,1,0,1,0,one_year,0,credit_card,4320,0
3466-BYAVD,male,0,1,1,15,1,0,0,1,1,1,0,1,month_to_month,1,mailed_check,3128,0
3780-YVMFA,female,0,1,1,8,1,0,0,0,0,1,1,1,month_to_month,1,electronic_check,3123,0
1679-JRFBR,female,0,1,0,70,1,1,1,1,1,0,1,1,one_year,1,credit_card,5192,1
9073-ZZIAY,male,0,1,0,62,1,0,1,1,1,1,1,1,two_year,0,electronic_check,5769,0
3077-RSNTJ,female,0,1,1,6,1,0,0,0,0,0,0,0,month_to_month,0,mailed_check,4293,0
6551-GNYDG,female,0,1,1,14,1,0,0,0,0,0,0,1,month_to_month,1,bank_transfer,2563,1
9167-APMXZ,female,0,0,0,22,1,1,0,0,0,0,1,0,month_to_month,1,bank_transfer,3549,1
2749-CTKAJ,male,0,1,0,22,1,0,0,0,0,0,0,0,one_year,0,mailed_check,2173,0
6371-NZYEG,male,0,1,0,16,1,0,1,0,1,0,1,0,two_year,0,mailed_check,5511,0
7554-NEWDD,male,0,0,0,10,1,1,0,0,0,0,0,0,two_year,0,bank_transfer,3611,0
8992-VONJD,female,0,0,1,13,1,0,1,1,0,0,0,0,month_to_month,1,electronic_check,5156,0
4482-EWFMI,female,0,0,0,2,1,0,0,0,0,0,0,0,month_to_month,1,electronic_check,3056,1
4648-YPBTM,male,0,0,0,53,1,1,0,1,1,1,0,1,two_year,1,bank_transfer,5644,0
2907-ILJBN,female,0,1,0,11,1,0,0,0,0,0,0,0,one_year,0,mailed_check,4047,0
6345-FZOQH,male,0,1,0,69,1,0,0,0,0,0,0,0,two_year,0,mailed_check,5570,0
5997-OPVFA,male,0,1,0,72,1,1,1,1,1,1,1,1,two_year,1,bank_transfer,6212,0
1159-WFSGR,female,0,1,1,16,1,0,0,0,0,0,0,0,month_to_month,0,electronic_check,3990,0
7654-YWJUF,male,0,1,0,43,1,0,1,0,1,1,0,0,one_year,1,bank_transfer,4382,1
6727-IOTLZ,male,0,1,0,14,1,0,0,1,1,1,1,1,two_year,0,mailed_check,2564,0
5918-VUKWP,female,0,0,0,32,1,0,0,0,0,0,0,0,one_year,0,bank_transfer,5358,0
1744-JHKYS,female,0,1,0,34,1,1,0,0,0,0,0,0,month_to_month,0,electronic_check,3421,0
5947-SGKCL,female,0,1,1,15,1,1,0,1,1,0,1,1,month_to_month,1,bank_transfer,2721,1
3712-PKXZA,male,0,1,0,61,1,0,0,0,0,0,0,0,one_year,1,credit_card,5110,0
6582-OIVSP,female,0,0,0,1,1,0,0,0,0,0,0,0,month_to_month,0,mailed_check,3575,0
5524-KHNJP,male,0,1,0,33,1,0,1,0,1,0,1,1,one_year,0,credit_card,5344,0
4827-USJHP,male,0,0,0,20,1,0,0,1,0,0,0,0,month_to_month,1,mailed_check,2764,0
8167-GJLRN,male,0,0,0,3,0,0,0,0,0,1,0,0,month_to_month,0,electronic_check,3108,0
0956-SYCWG,female,0,0,0,13,1,0,0,0,0,0,0,0,one_year,0,electronic_check,2024,0
8017-UVSZU,female,0,1,0,40,1,1,0,1,0,0,0,0,month_to_month,0,credit_card,3359,0
7100-FQPRV,male,0,1,0,43,1,1,1,0,0,1,0,1,one_year,1,credit_card,4106,0
2984-RGEYA,female,0,1,0,69,1,0,0,0,0,0,0,0,two_year,0,bank_transfer,5325,0
9680-NIAUV,female,0,1,0,72,1,1,1,1,1,0,1,1,two_year,0,credit_card,5945,1
2146-EGVDT,male,0,1,0,59,1,0,0,0,0,0,0,0,two_year,0,credit_card,4149,0
2604-IJPDU,female,0,1,0,20,1,0,1,1,0,1,1,0,month_to_month,1,electronic_check,4382,1
9178-JHUVJ,male,0,1,1,24,1,1,0,0,0,0,0,0,two_year,1,bank_transfer,4634,0
6168-YBYNP,male,0,0,0,59,1,1,0,1,1,1,1,1,month_to_month,1,electronic_check,6047,1
7255-SSFBC,male,0,1,1,72,1,1,0,1,1,1,1,1,two_year,1,bank_transfer,4099,1
3645-DEYGF,male,0,0,1,1,1,0,0,0,0,0,0,0,month_to_month,0,mailed_check,3358,0
9323-HGFWY,female,0,1,0,27,1,0,1,0,0,1,1,1,one_year,1,credit_card,3795,1
8544-GOQSH,female,0,0,0,14,1,0,0,1,0,1,0,0,month_to_month,1,credit_card,4400,1
3363-DTIVD,male,0,1,1,71,1,1,1,0,1,0,1,1,two_year,0,electronic_check,5010,1
7018-WBJNK,male,0,0,1,13,1,0,0,0,0,0,1,0,month_to_month,1,credit_card,5566,1
9142-KZXOP,male,0,0,0,44,1,0,0,0,0,0,0,0,month_to_month,0,credit_card,2053,1
7674-YTAFD,female,0,0,0,33,1,0,0,1,0,1,0,0,one_year,1,bank_transfer,3118,1
6348-SNFUS,male,0,1,0,72,0,0,1,1,1,1,0,1,two_year,1,credit_card,4556,0
1347-KTTTA,male,0,1,0,64,1,0,0,1,1,1,1,1,one_year,1,credit_card,6398,1
4195-NZGTA,female,0,0,0,1,0,0,0,0,0,0,0,0,month_to_month,0,electronic_check,5858,0
7157-SMCFK,male,0,0,1,61,1,0,0,0,0,0,0,0,two_year,0,mailed_check,5411,0
4709-LKHYG,female,0,1,0,29,1,0,0,0,0,0,0,0,one_year,0,electronic_check,3800,0
2504-DSHIH,male,1,1,0,23,1,1,0,0,0,0,0,1,month_to_month,0,electronic_check,5788,1
0699-NDKJM,female,0,1,0,57,0,0,1,1,1,0,1,1,month_to_month,1,bank_transfer,4115,0
9286-BHDQG,male,0,1,0,72,0,0,1,1,1,1,0,0,two_year,0,credit_card,5041,0
0230-WEQUW,male,0,1,0,66,0,0,1,1,1,1,1,0,two_year,1,bank_transfer,5500,0
2040-LDIWQ,male,0,1,0,65,1,1,0,1,1,1,1,1,two_year,1,bank_transfer,5256,0
6496-JDSSB,female,0,0,0,8,1,0,0,0,0,0,1,0,month_to_month,1,bank_transfer,2165,1
4443-EMBNA,female,0,1,0,71,1,1,0,0,0,0,0,0,two_year,0,bank_transfer,4642,0
6469-MRVET,male,0,1,0,1,1,0,0,0,0,0,0,0,one_year,1,electronic_check,4160,0
5961-VUSRV,female,0,0,0,12,1,0,0,0,0,0,0,0,one_year,1,bank_transfer,4451,0
6778-JFCMK,male,0,0,0,24,0,0,1,0,0,0,1,1,one_year,1,mailed_check,4806,0
6341-JVQGF,female,0,1,0,31,1,0,1,0,1,1,1,1,one_year,1,mailed_check,5643,0
4811-JBUVU,male,0,0,0,30,1,1,0,0,0,1,0,1,month_to_month,1,credit_card,3233,1
0945-TSONX,female,0,1,0,47,1,1,1,1,0,1,1,1,two_year,1,credit_card,5698,0
2651-ZCBXV,male,0,0,0,54,1,1,1,1,0,1,1,1,two_year,1,credit_card,6370,1
3316-UWXUY,male,0,0,0,50,1,0,1,1,0,1,0,1,month_to_month,1,credit_card,6367,1
7083-MIOPC,female,0,0,0,72,1,0,0,0,0,0,0,0,two_year,0,credit_card,5733,0
1984-GPTEH,female,0,0,0,29,1,1,0,0,0,0,0,0,month_to_month,0,electronic_check,5491,0
0621-JFHOL,female,0,0,0,10,0,0,0,0,0,1,0,0,two_year,1,mailed_check,3180,0
9903-LYSAB,male,0,1,0,18,1,1,0,0,0,0,0,0,month_to_month,1,electronic_check,4283,1
9227-UAQFT,male,0,0,0,16,1,0,0,0,0,0,0,0,two_year,0,mailed_check,4272,0
7301-ABVAD,female,0,0,0,72,1,1,0,1,1,1,1,1,two_year,0,bank_transfer,4530,0
6614-FHDBO,male,0,0,0,72,1,1,0,1,1,1,1,1,two_year,0,bank_transfer,4551,1
7576-ASEJU,female,0,1,0,41,1,0,1,0,0,1,1,1,one_year,1,credit_card,5246,0
9058-HRZSV,female,1,1,0,65,1,0,1,1,1,0,0,1,month_to_month,0,electronic_check,5348,1
4522-AKYLR,female,1,0,0,13,1,0,0,1,1,0,0,0,month_to_month,1,electronic_check,5557,0
0221-WMXNQ,male,1,0,0,4,1,0,1,0,0,0,0,0,month_to_month,0,electronic_check,4033,1
0303-UNCIP,male,0,0,0,41,1,1,0,0,1,0,0,1,one_year,0,mailed_check,5043,0
0959-WHOKV,male,0,0,0,42,1,1,1,1,1,0,0,1,one_year,1,electronic_check,2887,1
4075-JFPGR,female,0,1,0,51,1,0,1,1,1,0,1,0,one_year,1,electronic_check,5561,1
3282-ZISZV,male,0,0,0,32,1,1,0,1,1,1,1,1,one_year,0,credit_card,3945,0
3675-YDUPJ,male,0,0,0,10,1,0,0,0,0,0,0,0,month_to_month,1,mailed_check,3768,0
4111-BNXIF,female,0,1,0,67,0,0,0,1,1,1,1,1,two_year,1,electronic_check,4478,0
7017-VFHAY,female,0,1,1,61,1,1,1,1,1,1,1,1,two_year,0,credit_card,6090,1
6655-LHBYW,male,0,0,0,50,1,1,1,1,1,1,1,1,one_year,0,credit_card,5068,1
5046-NUHWD,female,1,1,0,29,0,0,1,0,1,0,0,1,month_to_month,1,electronic_check,3094,0
7529-ZDFXI,male,1,1,0,57,1,1,0,1,0,0,0,1,month_to_month,1,electronic_check,4429,1
7605-BDWDC,female,0,0,0,31,0,0,1,1,0,1,0,1,two_year,1,bank_transfer,2539,0
1950-KSVVJ,female,0,1,0,45,1,1,1,1,1,1,1,1,one_year,0,mailed_check,4885,1
0123-CRBRT,female,0,1,0,61,1,1,1,1,1,1,1,1,two_year,0,mailed_check,5152,0
6292-TOSSS,male,0,0,0,50,1,1,0,0,0,0,0,0,two_year,0,bank_transfer,4297,0
3197-ARFOY,female,1,0,0,19,1,0,1,1,0,1,1,1,month_to_month,1,mailed_check,3524,1
7014-ZZXAW,female,0,1,0,71,1,1,0,0,0,0,0,0,two_year,1,credit_card,5409,0
7633-MVPUY,male,0,1,0,57,1,0,1,1,0,1,0,0,two_year,1,electronic_check,4012,0
4716-HHKQH,male,1,1,0,20,1,1,0,1,0,1,1,1,month_to_month,0,electronic_check,5328,1
3179-GBRWV,male,1,1,0,21,1,0,1,1,0,0,0,1,month_to_month,1,bank_transfer,4604,0
8645-KWHJO,male,0,0,0,14,0,0,0,0,1,1,1,1,month_to_month,1,electronic_check,4900,0
4130-MZLCC,female,0,0,0,5,1,0,0,1,0,0,0,0,month_to_month,0,bank_transfer,2739,0
0314-TKOSI,female,0,0,0,6,1,0,1,1,0,0,0,0,month_to_month,0,mailed_check,5377,0
8229-MYEJZ,female,0,0,0,10,1,0,0,1,0,0,0,0,month_to_month,0,electronic_check,5765,0
2080-SRCDE,female,0,0,1,1,1,1,0,0,0,0,0,0,month_to_month,0,mailed_check,4556,0
9577-WJVCQ,female,0,0,0,68,1,1,1,0,0,0,0,0,month_to_month,0,mailed_check,5310,0
6202-DYYFX,female,0,0,0,22,1,1,0,0,0,0,0,0,one_year,1,credit_card,2031,1
3808-HFKDE,female,0,0,0,20,1,0,0,0,0,0,0,0,month_to_month,1,electronic_check,3460,0
3727-OWVYD,male,0,0,0,35,1,0,1,1,1,0,0,0,one_year,0,mailed_check,2075,0
2294-SALNE,male,0,1,0,23,1,0,0,1,1,1,0,0,one_year,0,mailed_check,3200,1
4847-TAJYI,female,1,0,0,6,1,0,0,0,0,0,1,1,month_to_month,1,electronic_check,2578,1
1563-IWQEX,female,0,0,0,12,1,0,0,0,0,0,0,0,month_to_month,0,mailed_check,5715,0
8203-XJZRC,male,0,0,0,1,1,0,0,0,0,0,0,0,month_to_month,0,mailed_check,5384,0
6556-DBKZF,female,0,1,1,71,1,0,0,0,1,0,0,0,two_year,0,electronic_check,5841,1
6851-WEFYX,male,1,1,0,35,1,1,0,0,1,0,1,1,month_to_month,1,electronic_check,3318,1
2985-JUUBZ,male,0,1,1,40,1,1,0,0,1,0,1,1,month_to_month,1,electronic_check,3718,0
0895-LMRSF,male,0,0,0,23,1,0,0,0,0,0,1,1,one_year,1,bank_transfer,3314,0
8266-VBFQL,male,0,0,0,4,1,0,0,0,1,1,0,1,month_to_month,1,electronic_check,3314,1
8181-YHCMF,female,0,1,0,68,0,0,0,1,1,1,1,1,two_year,0,credit_card,4864,0
2240-HSJQD,male,0,0,1,38,1,1,0,1,0,0,0,0,month_to_month,1,mailed_check,3571,1
1248-DYXUB,male,0,1,1,52,1,1,0,0,0,0,0,0,two_year,0,mailed_check,5320,0
4115-BNPJY,male,0,1,0,29,1,0,0,0,1,1,1,1,two_year,0,mailed_check,5625,0
3167-SNQPL,male,1,1,1,38,1,1,0,1,0,0,1,1,month_to_month,0,electronic_check,4036,1
4091-TVOCN,male,0,0,0,48,1,1,1,0,1,0,1,1,one_year,1,credit_card,2257,0
1098-TDVUQ,female,0,0,0,1,1,0,0,0,0,0,0,0,month_to_month,1,bank_transfer,4745,0
7277-OZCGZ,female,0,0,0,22,1,0,1,0,0,1,0,1,month_to_month,1,electronic_check,5479,1
1557-EMYVT,female,0,0,0,43,1,1,1,1,1,1,1,1,two_year,0,credit_card,4115,1
2799-ARNLO,female,1,1,0,5,1,0,0,0,0,0,0,0,month_to_month,1,electronic_check,5437,1
5027-YOCXN,male,0,1,0,51,1,1,1,1,0,1,1,1,one_year,0,credit_card,5604,1
3973-SKMLN,male,0,0,0,71,1,0,0,0,0,0,0,0,two_year,1,credit_card,5308,0
6745-JEFZB,male,0,1,0,35,1,1,0,0,0,1,1,0,month_to_month,1,credit_card,3617,1
9880-TDQAC,female,0,1,0,72,0,0,0,1,1,1,1,1,two_year,1,electronic_check,5471,0
8705-WZCYL,male,0,0,0,1,1,0,0,0,0,0,0,0,month_to_month,1,electronic_check,2269,0
7102-JJVTX,female,0,1,0,9,1,0,1,0,0,0,0,0,one_year,0,mailed_check,4562,0
8626-PTQGE,male,0,0,0,69,0,0,1,1,0,1,1,1,two_year,1,bank_transfer,5388,0
4983-CLMLV,female,0,1,0,52,1,1,0,1,0,1,1,1,month_to_month,1,credit_card,4044,1
5701-YVSVF,female,1,1,0,11,1,0,0,0,0,1,1,0,month_to_month,1,electronic_check,4413,1
5697-GOMBF,female,1,1,1,28,0,0,0,0,0,0,1,0,month_to_month,1,electronic_check,5444,0
2739-CACDQ,female,1,0,0,17,1,1,0,0,1,0,0,0,month_to_month,1,credit_card,3754,1
9385-EHGDO,female,0,1,1,35,1,0,0,0,0,0,0,0,two_year,1,mailed_check,4177,0
9498-FIMXL,female,0,0,0,8,1,0,0,0,0,0,0,0,one_year,1,mailed_check,5272,0
2379-GYFLQ,male,0,0,0,46,1,1,0,1,1,0,1,0,one_year,1,credit_card,5316,1
2088-IEBAU,female,0,0,0,68,1,1,1,1,1,1,1,1,two_year,1,electronic_check,5531,0
7982-VCELR,female,0,0,0,36,1,0,0,1,0,0,1,1,month_to_month,1,credit_card,2807,1
6035-BXTTY,female,1,0,0,32,1,0,0,1,0,1,0,0,month_to_month,0,bank_transfer,4045,0
6885-PKOAM,female,0,1,0,71,1,1,1,1,1,1,1,1,two_year,0,credit_card,4487,0
7520-HQWJU,female,0,1,1,66,1,1,1,1,1,0,0,0,month_to_month,1,bank_transfer,4172,0
9639-BUJXT,male,0,0,0,63,1,0,0,0,0,0,0,0,one_year,0,mailed_check,5997,0
5924-SNGKP,female,0,0,0,41,1,0,0,0,0,0,0,0,one_year,1,credit_card,3972,0
0021-IKXGC,female,1,0,0,1,1,1,0,0,0,0,0,0,month_to_month,1,electronic_check,4432,1
8966-SNIZF,female,0,1,0,70,1,0,0,0,0,0,0,0,two_year,0,bank_transfer,5540,0
6243-OZGFH,female,0,0,0,23,0,0,0,0,0,0,1,1,month_to_month,1,electronic_check,3248,0
4654-DLAMQ,female,1,1,0,64,1,0,1,1,1,0,0,1,one_year,0,bank_transfer,4053,1
